"titulo";"distribuidora_pdf_heuristica";"fecha_estreno";"recaudacion";"espectadores";"anio";"anio_reposicion";"titulo_busqueda";"articulo";"icaa_id";"titulo_icaa";"distribuidora_nacional_icaa";"distribuidor_internacional_icaa";"fecha_estreno_ficha";"tipo_icaa";"genero_icaa";"tags_icaa";"genero_final";"genero_fuente";"nacionalidad_paises_icaa";"directores_icaa";"guionistas_icaa";"subvenciones_icaa";"subvenciones_total";"empresas_productoras_icaa";"clave_grupo"
"Zerø";"Begin Again Films";"23/04/2021";2558.0;415;2021;"";"Zerø";"";81615.0;"ZERO";"PELICULA SIN DISTRIBUIDORA ASIGNADA (98J000); BEGIN AGAIN FILMS, S.L. (02J1250)";"";"20/10/2020";"Cine - Ficción";"Drama";"[""Drama"", ""Thriller"", ""Fantasía""]";"Drama";"ficha_genero";"España (100.0%)";"[""Iñaki Sánchez Arrieta""]";"[""Ferrán Brooks""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""NEMESIS MEDIA, S.L. (01J6023)"", ""porcentaje_empresa"": 95.27}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""FERNANDO ARROYO MUÑOZ (01F3667)"", ""porcentaje_empresa"": 2.73}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""LA GANDULA PRODUCCIONES, A.I.E (01J6269)"", ""porcentaje_empresa"": 1.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""INAUDITA, S.L.U. (01J7389)"", ""porcentaje_empresa"": 1.0}]";"81615"
"Rey de todo el mundo, El";"Syldavia";"12/11/2021";2487.0;420;2021;"";"Rey de todo el mundo";"El";29319.0;"EL REY DE TODO EL MUNDO";"PELICULA SIN DISTRIBUIDORA ASIGNADA (98J000)";"";"12/11/2021";"Cine - Ficción";"Drama";"";"Drama";"ficha_genero";"España (30.0%); México (70.0%)";"[""Carlos Saura""]";"[""Carlos Saura""]";"";0.0;"[{""pais"": ""MÉXICO"", ""porcentaje_pais"": 70.0, ""empresa"": ""PIPA FILMS SA DE CV"", ""porcentaje_empresa"": null}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 30.0, ""empresa"": ""PACHA INVERSIONES Y PRODUCCIONES AUDIOVISUALES, S.L. (01J6581)"", ""porcentaje_empresa"": 100.0}]";"29319"
"Urtzen";"Atera Films";"22/04/2021";2446.0;497;2021;"";"Urtzen";"";147620.0;"URTZEN";"MIREN APERRIBAY IRASTORZA (02F450)";"";"23/04/2021";"Cine - Documental";"Documental";"[""Documental""]";"Documental";"ficha_genero";"España (100.0%)";"[""Telmo Esnal""]";"[""Telmo Esnal""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""MIREN APERRIBAY IRASTORZA (01F2824)"", ""porcentaje_empresa"": 100.0}]";"147620"
"Salvador Dali. Diarios de juventud";"Independent";"09/03/2021";2442.0;425;2021;"";"Salvador Dali. Diarios de juventud";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Salvador Dali. Diarios de juventud||09/03/2021"
"Padre no hay mas que uno 2: La llegada de la suegra";"Sony";"29/07/2020";2439.0;622;2021;"";"Padre no hay mas que uno 2: La llegada de la suegra";"";159119.0;"PADRE NO HAY MÁS QUE UNO 2: LA LLEGADA DE LA SUEGRA";"SONY PICTURES ENTERTAINMENT IBERIA, S.L.U. (02J1289)";"";"28/07/2020";"Cine - Ficción";"Comedia";"[""Comedia"", ""Familiar""]";"Comedia";"ficha_genero";"España (100.0%)";"[""Santiago Segura""]";"[""Santiago Segura"", ""Marta González De Vega""]";"[{""concepto"": ""Ayudas Generales para la producción de largometrajes sobre proyecto"", ""importe"": 695000.0}]";695000.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""MAMA SE FUE DE VIAJE LA PELICULA, A.I.E. (01J7019)"", ""porcentaje_empresa"": 79.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""ATRESMEDIA CINE, S.L. (01J2040)"", ""porcentaje_empresa"": 20.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""BOWFINGER INTERNATIONAL PICTURES, S.L. (01J2830)"", ""porcentaje_empresa"": 1.0}]";"159119"
"Baby";"Festival Films";"18/12/2020";2437.0;421;2021;"";"Baby";"";147516.0;"BABY";"FESTIVAL FILMS, S.L. (02J623)";"LATIDO FILMS (98J1003)";"03/12/2020";"Cine - Ficción";"Drama";"[""Drama"", ""Thriller psicológico""]";"Drama";"ficha_genero";"España (100.0%)";"[""Juanma Bajo Ulloa""]";"[""Juanma Bajo Ulloa"", ""Elisa Marinas""]";"[{""concepto"": ""Ayudas Selectivas para la producción de largometrajes sobre proyecto"", ""importe"": 266050.0}]";266050.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""FRAGIL ZINEMA, S.L. (01J2572)"", ""porcentaje_empresa"": 80.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""LA CHARITO FILMS, S.L. (01J6977)"", ""porcentaje_empresa"": 20.0}]";"147516"
"Cuarto de Mona, El";"Independent";"19/11/2021";2412.0;432;2021;"";"Cuarto de Mona";"El";193821.0;"EL CUARTO DE MONA";"FERNANDO PAZIN (02F531)";"";"19/11/2021";"Cine - Ficción";"Comedia";"";"Comedia";"ficha_genero";"España (100.0%)";"[""Darío Autrán""]";"[""Darío Autrán""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""DARÍO FERNÁNDEZ FERNÁNDEZ (01F4419)"", ""porcentaje_empresa"": 100.0}]";"193821"
"Fantasia de juventud";"Independent";"04/12/2020";2330.0;606;2021;"";"Fantasia de juventud";"";25321.0;"FANTASÍA DE JUVENTUD";"PELICULA SIN DISTRIBUIDORA ASIGNADA (98J000)";"";"19/03/2021";"Cine - Ficción";"Drama";"[""Drama"", ""Adolescencia""]";"Drama";"ficha_genero";"España (100.0%)";"[""Jaume Sucarrats""]";"[""Jaume Sucarrats""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""HILARIO SUCARRATS AZAMAR (01F4299)"", ""porcentaje_empresa"": 100.0}]";"25321"
"Mironins. La pelicula";"Independent";"03/12/2021";2236.0;468;2021;"";"Mironins. La pelicula";"";187521.0;"MIRONINS, LA PEL-LÍCULA";"PELICULA SIN DISTRIBUIDORA ASIGNADA (98J000)";"";"03/12/2021";"Cine - Animación";"Animación";"[""Animación"", ""Arte"", ""Joan Miró""]";"Animación";"ficha_genero";"España (100.0%)";"[""Mikel Mas"", ""Francesc Montalt Matas""]";"[""Celia Rico"", ""Cristina Broquetas Solans""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""LOW FILMS, A.I.E. (01J7820)"", ""porcentaje_empresa"": 70.44}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""HAMPA STUDIO, S.L. (01J4019)"", ""porcentaje_empresa"": 29.56}]";"187521"
"Precio del progreso, El";"39 Escalones";"16/10/2020";2155.0;311;2021;"";"Precio del progreso";"El";124318.0;"EL PRECIO DEL PROGRESO";"39 ESCALONES FILMS, S.L. (02J1049)";"";"16/10/2020";"Cine - Documental";"Documental";"[""Documental"", ""Industria alimentaria"", ""Sostenibilidad""]";"Documental";"ficha_genero";"España (100.0%)";"[""Víctor Luengo""]";"[""Víctor Luengo"", ""Virginia Díaz""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""VICTOR LUENGO DEL AMA (01F3676)"", ""porcentaje_empresa"": 55.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""SALON INDIEN FILMS, S.L. (01J5920)"", ""porcentaje_empresa"": 15.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""THE OTHER FILM PRODUCTION, S.L. (01J6847)"", ""porcentaje_empresa"": 15.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""VIRGINIA DIAZ GONZALEZ (01F4010)"", ""porcentaje_empresa"": 15.0}]";"124318"
"Una luz en la oscuridad";"Phoenix Entertaiment";"22/01/2021";2128.0;392;2021;"";"Una luz en la oscuridad";"";150917.0;"UNA LUZ EN LA OSCURIDAD";"PHOENIX ENTERTAINMENT, S.L. (02J1393)";"";"23/01/2021";"Cine - Documental";"Documental";"[""Documental"", ""Educación"", ""Social""]";"Documental";"ficha_genero";"España (100.0%)";"[""José María Borrell Balsells""]";"[""José María Borrell Balsells""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""GONDOLA FILMS,S.L. (01J2246)"", ""porcentaje_empresa"": 100.0}]";"150917"
"Islandia, el refugio perfecto";"Independent";"02/05/2021";2121.0;327;2021;"";"Islandia, el refugio perfecto";"";84521.0;"ISLANDIA";"";"";"";"Cine - Experimental";"Experimental";"";"Experimental";"ficha_genero";"España (100.0%)";"[""Iñaki Sánchez Arrieta""]";"[""Iñaki Sánchez Arrieta""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""JOSE IGNACIO SANCHEZ ARRIETA (01F3042)"", ""porcentaje_empresa"": 50.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""EL CAMINO PRODUCCIONES CINEMATOGRÁFICAS, S.L. (01J8307)"", ""porcentaje_empresa"": 30.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""PRODUCTOS Y SERVICIOS POR INTERNET, S.L. (01J7786)"", ""porcentaje_empresa"": 20.0}]";"84521"
"Arcadeología";"Independent";"29/07/2021";2107.0;344;2021;"";"Arcadeología";"";40721.0;"ARCADEOLOGÍA";"MIGUEL HERRERO HERRERO (02F467)";"";"28/07/2021";"Cine - Documental";"Documental artes";"[""Documental"", ""Videojuegos"", ""Arcade"", ""Retro Gaming""]";"Documental artes";"ficha_genero";"España (100.0%)";"[""Mario-Paul Martínez""]";"[""Mario-Paul Martínez""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""MIGUEL HERRERO HERRERO (01F3110)"", ""porcentaje_empresa"": 100.0}]";"40721"
"Periferia";"Independent";"09/06/2021";2045.0;323;2021;"";"Periferia";"";56717.0;"PERIFÈRIA";"ANTIVAHO CINEMATOGRÁFICO, S.L. (01J6886); PELICULA SIN DISTRIBUIDORA ASIGNADA (98J000)";"";"09/06/2021";"Cine - Documental";"";"[""Documental"", ""Barcelona""]";"Cine - Documental";"ficha_tipo";"España (100.0%)";"[""Xavier Esteban"", ""Odei A. Etxearte""]";"[""Xavier Esteban"", ""Odei A. Etxearte"", ""Èrika Sánchez""]";"[{""concepto"": ""Ayudas Selectivas para la producción de largometrajes sobre proyecto"", ""importe"": 13920.0}]";13920.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""ERIKA DE LA ESTRELLA SANCHEZ MARCOS (01F3434)"", ""porcentaje_empresa"": 63.6}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""ANTIVAHO CINEMATOGRÁFICO, S.L. (01J6886)"", ""porcentaje_empresa"": 19.42}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""CORPORACIO CATALANA DE MITJANS AUDIOVISUALS, S.A. (01J11289)"", ""porcentaje_empresa"": 16.98}]";"56717"
"Gallina Turuleca, La";"Filmax";"01/01/2020";1914.0;390;2021;"";"Gallina Turuleca";"La";101817.0;"LA GALLINA TURULECA";"CASTELAO PICTURES, S.L. (02J943)";"FILMAX (INTERNATIONAL SALES) (98J1061)";"01/01/2020";"Cine - Animación";"Animación";"[""3D"", ""Familia""]";"Animación";"ficha_genero";"España (70.0%); Argentina (30.0%)";"[""Víctor Monigote"", ""Eduardo Gondell""]";"[""Juan Pablo Buscarini"", ""Eduardo Carlos Gondell"", ""Pablo Enrique Bossi""]";"[{""concepto"": ""Ayudas Generales para la producción de largometrajes sobre proyecto"", ""importe"": 280000.0}]";280000.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 70.0, ""empresa"": ""BROWN FILMS, A.I.E. (01J6445)"", ""porcentaje_empresa"": 99.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 70.0, ""empresa"": ""GLORIAMUNDI PRODUCCIONES, S.L. (01J3121)"", ""porcentaje_empresa"": 0.4}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 70.0, ""empresa"": ""TANDEM FILMS, S.L. (01J6595)"", ""porcentaje_empresa"": 0.4}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 70.0, ""empresa"": ""PRODUCIONS A FONSAGRADA, S.L. (01J4726)"", ""porcentaje_empresa"": 0.2}, {""pais"": ""ARGENTINA"", ""porcentaje_pais"": 30.0, ""empresa"": ""PAMPA FILMS S.A."", ""porcentaje_empresa"": null}, {""pais"": ""ARGENTINA"", ""porcentaje_pais"": 30.0, ""empresa"": ""ARGENTINA SONOFILM S.A"", ""porcentaje_empresa"": null}, {""pais"": ""ARGENTINA"", ""porcentaje_pais"": 30.0, ""empresa"": ""MEDIABYTE S.R.L."", ""porcentaje_empresa"": null}, {""pais"": ""ARGENTINA"", ""porcentaje_pais"": 30.0, ""empresa"": ""IN POST WE TRUST S.A."", ""porcentaje_empresa"": null}, {""pais"": ""ARGENTINA"", ""porcentaje_pais"": 30.0, ""empresa"": ""MALDITOMAUS S.RL."", ""porcentaje_empresa"": null}]";"101817"
"A este lado de la carretera";"Independent";"03/12/2021";1914.0;369;2021;"";"A este lado de la carretera";"";150017.0;"A ESTE LADO DE LA CARRETERA";"PROYECTOS AUDIOVISUALES, ARQUEOLÓGICOS Y MULTIMEDIA MLK, S.L. (02J1477)";"";"03/12/2021";"Cine - Documental";"Documental musical";"[""Documental"", ""Musical""]";"Documental musical";"ficha_genero";"España (100.0%)";"[""José Antonio Hergueta""]";"[""Regina Álvarez Lorenzo"", ""José Antonio Hergueta""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""A ESTE LADO DE LA CARRETERA, A.I.E. (01J6764)"", ""porcentaje_empresa"": 94.37}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""SOCIEDAD MERCANTIL CORPORACION DE RADIO TELEVISION ESPAÑOLA, S.A.U. (98T4)"", ""porcentaje_empresa"": 4.63}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""PROYECTOS AUDIOVISUALES, ARQUEOLÓGICOS Y MULTIMEDIA MLK, S.L. (01J2000)"", ""porcentaje_empresa"": 1.0}]";"150017"
"Callejeras";"Summer Films";"08/10/2021";1898.0;395;2021;"";"Callejeras";"";19220.0;"CALLEJERAS";"SUMMER FILMS, S.L. (02J1204)";"";"08/10/2021";"Cine - Documental";"Documental";"[""Carnaval de Cádiz"", ""Mujeres"", ""Documental""]";"Documental";"ficha_genero";"España (100.0%)";"[""Silvia Moreno""]";"[""Silvia Moreno""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""WEMAKE MOVIES,S.L. (01J4572)"", ""porcentaje_empresa"": 100.0}]";"19220"
"Sombra, La";"Phoenix Entertaiment";"25/06/2021";1897.0;381;2021;"";"Sombra";"La";134621.0;"LA SOMBRA";"PHOENIX ENTERTAINMENT, S.L. (02J1393)";"";"24/06/2021";"Cine - Ficción";"Drama";"[""Drama"", ""Thriller"", ""Ciencia ficción"", ""Aventuras"", ""Post-apocalíptico""]";"Drama";"ficha_genero";"España (100.0%)";"[""Juan Antonio Chavero""]";"[""Juan Antonio Chavero""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""JUAN JESÚS GRANJA BECILLA (01F4430)"", ""porcentaje_empresa"": 100.0}]";"134621"
"Magaluf Ghost Town";"Begin Again Films";"26/11/2021";1861.0;295;2021;"";"Magaluf Ghost Town";"";86519.0;"MAGALUF GHOST TOWN";"BEGIN AGAIN FILMS, S.L. (02J1250)";"";"19/11/2021";"Cine - Experimental";"Documental social";"[""Documental"", ""Experimental"", ""Social""]";"Documental social";"ficha_genero";"España (100.0%)";"[""Miguel Ángel Blanca""]";"[""Miguel Ángel Blanca""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""BOOGALOO FILMS, S.L. (01J4454)"", ""porcentaje_empresa"": 93.08}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""MOSAIC PRODUCCIONES AUDIOVISUALES, S.L. (01J7098)"", ""porcentaje_empresa"": 6.92}]";"86519"
"Tristesse";"Hemisphere Films";"29/01/2021";1816.0;302;2021;"";"Tristesse";"";1421.0;"TRISTESSE";"HEMISPHERE FILMS, S.L.U. (02J1419)";"";"05/02/2021";"Cine - Ficción";"Comedia - drama";"[""Comedia"", ""Drama""]";"Comedia - drama";"ficha_genero";"España (100.0%)";"[""Emilio Ruiz Barrachina""]";"[""Emilio Ruiz Barrachina""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""HEMISPHERE FILMS, S.L.U. (01J7038)"", ""porcentaje_empresa"": 100.0}]";"1421"
"Descubriendo a Jose Padilla";"Film Buro";"29/12/2020";1807.0;310;2021;"";"Descubriendo a Jose Padilla";"";49116.0;"DESCUBRIENDO A JOSÉ PADILLA";"FILM BURO PRODUCCIONES INTERNACIONALES, S.L. (02J1125)";"";"29/12/2020";"Cine - Documental";"Documental";"[""Documental"", ""Musical"", ""Biografía""]";"Documental";"ficha_genero";"España (80.0%); Argentina (20.0%)";"[""Marta Figueras"", ""Susana Guardiola""]";"[""Mercè Glascà"", ""Lula Gómez""]";"[{""concepto"": ""Ayudas Selectivas para la producción de largometrajes sobre proyecto"", ""importe"": 43065.0}]";43065.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 80.0, ""empresa"": ""PROMARFI FUTURO 2010, S.L. (01J4600)"", ""porcentaje_empresa"": 31.45}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 80.0, ""empresa"": ""TARANNA FILMS, S.L. (01J3111)"", ""porcentaje_empresa"": 20.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 80.0, ""empresa"": ""STORIES BY SUSANA GUARDIOLA, S.L.U. (01J8228)"", ""porcentaje_empresa"": 15.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 80.0, ""empresa"": ""SOCIEDAD MERCANTIL CORPORACION DE RADIO TELEVISION ESPAÑOLA, S.A.U. (98T4)"", ""porcentaje_empresa"": 13.55}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 80.0, ""empresa"": ""SAVITEL TV, S.L. (01J5367)"", ""porcentaje_empresa"": 10.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 80.0, ""empresa"": ""PRODUCCIONES CORACA, S.L. (01J5944)"", ""porcentaje_empresa"": 10.0}, {""pais"": ""ARGENTINA"", ""porcentaje_pais"": 20.0, ""empresa"": ""CONTENTTO PEOPLE SRL"", ""porcentaje_empresa"": null}]";"49116"
"Ultima cena, La";"ConUnPack";"10/12/2021";1796.0;291;2021;"";"Ultima cena";"La";26421.0;"LA ÚLTIMA CENA";"CON UN PACK DE PELICULAS, S.L. (02J1367); PELICULA SIN DISTRIBUIDORA ASIGNADA (98J000)";"";"10/12/2021";"Cine - Ficción";"Comedia";"[""Comedia"", ""Experimental"", ""Drama""]";"Comedia";"ficha_genero";"España (100.0%)";"[""María S. Torregrosa"", ""Toni Agustí""]";"[""María S. Torregrosa"", ""Toni Agustí""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""OLIVO FILMS, S.L. (01J4105)"", ""porcentaje_empresa"": 100.0}]";"26421"
"A media voz";"Elamedia";"18/12/2020";1748.0;306;2021;"";"A media voz";"";49318.0;"A MEDIA VOZ";"ELAMEDIA, S.L. (02J1104)";"";"07/09/2020";"Cine - Experimental";"Documental";"[""Documental"", ""Auto-etnográfico""]";"Documental";"ficha_genero";"España (80.0%); Cuba (20.0%)";"[""Heidi Villate Hassan"", ""Patricia Pérez Fernández""]";"[""Heidi Villate Hassan"", ""Patricia Pérez Fernández""]";"[{""concepto"": ""Ayudas Selectivas para la producción de largometrajes sobre proyecto"", ""importe"": 20400.0}]";20400.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 80.0, ""empresa"": ""MATRIUSKA PRODUCCIONES, S.L. (01J2985)"", ""porcentaje_empresa"": 100.0}, {""pais"": ""CUBA"", ""porcentaje_pais"": 20.0, ""empresa"": ""PRODUCCIONES LA QUINTA AVENIDA"", ""porcentaje_empresa"": null}]";"49318"
"Victoria 2030";"Tus Ojos";"09/05/2021";1707.0;387;2021;"";"Victoria 2030";"";54220.0;"VICTORIA 2030";"TUS OJOS, S.L. (02J669)";"";"30/04/2021";"Cine - Ficción";"Educación Medioambiental";"[""Social"", ""Educación Medioambiental"", ""Desarrollo sostenible""]";"Educación Medioambiental";"ficha_genero";"España (100.0%)";"[""Manuel Serrano""]";"[""Manuel García Serrano"", ""Cristina Linares""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""SAN FILMIN, S.L. (01J7914)"", ""porcentaje_empresa"": 100.0}]";"54220"
"A este lado del mundo";"Buenavida";"25/09/2020";1696.0;434;2021;"";"A este lado del mundo";"";23020.0;"A ESTE LADO DEL MUNDO";"BUENAVIDA PRODUCCIONES, S.L. (02J1368)";"";"24/09/2020";"Cine - Ficción";"Comedia - drama";"";"Comedia - drama";"ficha_genero";"España (100.0%)";"[""David Trueba""]";"[""David Trueba""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""BUENAVIDA PRODUCCIONES, S.L. (01J1763)"", ""porcentaje_empresa"": 80.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""PERDIDOS GESTION CULTURAL, S.L. (01J7013)"", ""porcentaje_empresa"": 20.0}]";"23020"
"Acordes de la memoria, Los";"Independent";"30/05/2021";1695.0;397;2021;"";"Acordes de la memoria";"Los";142819.0;"LOS ACORDES DE LA MEMORIA";"PELICULA SIN DISTRIBUIDORA ASIGNADA (98J000)";"";"27/05/2021";"Cine - Documental";"Documental";"[""Alzheimer"", ""Documental"", ""Música""]";"Documental";"ficha_genero";"España (100.0%)";"[""Fernando Vera""]";"[""Fernando Vera""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""RAUL MADINABEITIA MANAGEMENT Y PRODUCCIÓN, S.L.U. (01J7476)"", ""porcentaje_empresa"": 100.0}]";"142819"
"Padre no hay mas que uno";"Sony";"01/08/2019";1655.0;248;2021;"";"Padre no hay mas que uno";"";180018.0;"PADRE NO HAY MÁS QUE UNO";"SONY PICTURES ENTERTAINMENT IBERIA, S.L.U. (02J1289)";"";"01/08/2019";"Cine - Ficción";"Comedia";"[""Comedia"", ""Familia""]";"Comedia";"ficha_genero";"España (100.0%)";"[""Santiago Segura""]";"[""Santiago Segura"", ""Marta González De Vega""]";"[{""concepto"": ""Ayudas Generales para la producción de largometrajes sobre proyecto"", ""importe"": 200000.0}]";200000.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""MAMA SE FUE DE VIAJE LA PELICULA, A.I.E. (01J7019)"", ""porcentaje_empresa"": 99.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""BOWFINGER INTERNATIONAL PICTURES, S.L. (01J2830)"", ""porcentaje_empresa"": 0.5}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""SONY PICTURES ENTERTAINMENT IBERIA, S.L.U. (01J6838)"", ""porcentaje_empresa"": 0.5}]";"180018"
"Viajante, La";"Begin Again Films";"02/07/2021";1636.0;296;2021;"";"Viajante";"La";112521.0;"LA VIAJANTE";"BEGIN AGAIN FILMS, S.L. (02J1250)";"";"01/07/2021";"Cine - Ficción";"Road movie";"[""Drama"", ""Creativo"", ""Road movie""]";"Road movie";"ficha_genero";"España (100.0%)";"[""Miguel Mejías""]";"[""Miguel Mejías"", ""Amanda Lobo""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""DIGITAL 104, S.L. (01J5842)"", ""porcentaje_empresa"": 50.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""VOLCANO INTERNACIONAL PRODUCTIONS, S.L. (01J1621)"", ""porcentaje_empresa"": 25.0}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""MARÍA ANGHARAD ROJO MARTÍN (01F4309)"", ""porcentaje_empresa"": 25.0}]";"112521"
"Lobster Soup";"Independent";"21/10/2020";1633.0;273;2021;"";"Lobster Soup";"";113518.0;"LOBSTER SOUP";"PLANETA MED, S.L. (02J754)";"";"29/10/2021";"Cine - Documental";"Documental";"[""Documental"", ""Islandia"", ""Rural"", ""Turismo""]";"Documental";"ficha_genero";"España (59.62%); Islandia (23.5%); Lituania (16.88%)";"[""Rafa Molés"", ""Pepe Andreu""]";"[""Rafa Molés"", ""Pepe Andreu"", ""Ólafur Rögnvaldsson"", ""Arùnas Matelis""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 59.62, ""empresa"": ""SUICA PRODUCTIONS, S.L. (01J5767)"", ""porcentaje_empresa"": 79.34}, {""pais"": ""ESPAÑA"", ""porcentaje_pais"": 59.62, ""empresa"": ""REC GRABAKETA ESTUDIOA, S.L. (01J3333)"", ""porcentaje_empresa"": 20.66}, {""pais"": ""ISLANDIA"", ""porcentaje_pais"": 23.5, ""empresa"": ""AXFILMS"", ""porcentaje_empresa"": null}, {""pais"": ""LITUANIA"", ""porcentaje_pais"": 16.88, ""empresa"": ""ULTRA NOMINUM UAB (STUDIO NOMINUM)"", ""porcentaje_empresa"": null}]";"113518"
"Pasion, segun Pep Amores, La";"Independent";"01/10/2021";1599.0;228;2021;"";"Pasion, segun Pep Amores";"La";24821.0;"LA PASSIÓ SEGONS PEP AMORES";"PELICULA SIN DISTRIBUIDORA ASIGNADA (98J000)";"";"01/10/2021";"Cine - Documental";"Documental";"[""Comedia"", ""Documental"", ""Música""]";"Documental";"ficha_genero";"España (100.0%)";"[""Júlia Girós"", ""Nina Solà"", ""Pol Picas""]";"[""Nina Solà"", ""Pol Picas"", ""Júlia Girós""]";"";0.0;"[{""pais"": ""ESPAÑA"", ""porcentaje_pais"": 100.0, ""empresa"": ""MORRIS COMUNICACIO, S.L. (01J8268)"", ""porcentaje_empresa"": 100.0}]";"24821"
"Aczion";"Yelmo";"04/11/2021";1491.0;173;2021;"";"Aczion";"";174321.0;"ACZION";"YELMO FILMS, S.L.U. (02J674)";"";"04/11/2021";"Cine - Ficción";"Comedia";"";"Comedia";"ficha_genero";"Sin determinar (100.0%)";"[""Bruno Martín Ojeda""]";"[""Bruno Martín Ojeda""]";"";0.0;"";"174321"
