"director_id";"person_id_tmdb";"nombre";"sexo";"fuente_sexo";"pais";"fuente_pais";"nombre_credito_original"
571;112607;"Carlos Iglesias";"hombre";"tmdb";"ES";"wikidata";""
572;2428295;"Ángel Tirado";"";"";"ES";"tmdb_heuristico";""
573;3567372;"Diego Lodeiros";"";"";"";"";""
574;4839826;"Antón Álvarez";"";"";"";"";""
575;3193916;"Santos Bacana";"";"";"";"";""
576;4272320;"Cris Trenas";"";"";"";"";""
577;3009003;"Rogelio González";"";"";"";"";""
578;59142;"Achero Mañas";"hombre";"tmdb";"ES";"tmdb_heuristico";""
579;6522;"Rafael Cobos";"hombre";"wikidata";"ES";"wikidata";""
580;1681183;"Álvaro Díaz Lorenzo";"hombre";"tmdb";"ES";"tmdb_heuristico";""
581;2196715;"Cecilia Montagut";"";"";"";"";""
582;1350506;"Pablo Aragüés";"hombre";"wikidata";"ES";"wikidata";""
583;3679787;"Marta Cabrera";"mujer";"tmdb";"";"";""
584;2402950;"Bibiana Monje";"";"";"";"";""
585;234369;"Christophe Farnarier";"hombre";"wikidata";"";"";""
586;1013025;"Pablo García Pérez de Lara";"hombre";"wikidata";"ES";"wikidata";""
587;4933571;"Nacho Rojas";"";"";"";"";""
588;4933566;"Álvaro Mayoral";"";"";"";"";""
589;1963039;"David Moragas";"hombre";"tmdb";"";"";""
590;5778006;"José Luis Rodríguez";"";"";"";"";""
591;3576022;"Nacho Serapio";"hombre";"tmdb";"ES";"tmdb_heuristico";""
592;4040872;"Eli Martín";"";"";"";"";""
593;2856894;"Julia Rebato";"";"";"";"";""
594;2843056;"Alex Comas";"hombre";"tmdb";"ES";"tmdb_heuristico";""
595;1039907;"Jorge Arenillas";"";"";"";"";""
596;1248203;"Luke Eve";"hombre";"tmdb";"AU";"tmdb_heuristico";""
597;3212690;"Mikel Mas Bilbao";"";"";"";"";""
598;793;"Luis Buñuel";"hombre";"tmdb";"ES";"tmdb_heuristico";""
599;5739649;"Xavier Pérez";"";"";"";"";""
600;4261006;"Maria Vilaseca Miguel";"";"";"";"";""
601;88092;"Federico Moccia";"hombre";"tmdb";"IT";"tmdb_heuristico";""
602;1148982;"David Valero";"";"";"";"";""
603;2534651;"Alberto Adsuara";"hombre";"tmdb";"ES";"tmdb_heuristico";""
604;4919676;"Nino Fontán Allen";"";"";"";"";""
605;2247381;"Itziar Bernaola";"";"";"";"";""
606;3081311;"Juan A. Zapata";"hombre";"manual";"CO";"manual";""
607;57630;"Peter Cattaneo";"hombre";"tmdb";"GB";"tmdb_heuristico";""
608;5853511;"Nieves Gómez";"";"";"";"";""
609;3020937;"Josep Serra Mateu";"";"";"";"";""
610;4919663;"Jone Ibarretxe de la Cal";"mujer";"tmdb";"";"";""
611;3233134;"Nere Falagan";"mujer";"tmdb";"";"";""
