"icaa_id";"tmdb_id";"gui_id";"fuente_credito";"metodo_match_persona"
127818.0;"";"gui_0274";"icaa";"busqueda_nombre_exacta"
128004.0;"";"gui_0063";"icaa";"busqueda_nombre_exacta"
128118.0;"";"gui_0275";"icaa";"busqueda_nombre_exacta"
128222.0;"";"gui_0276";"icaa";"busqueda_nombre_exacta"
128318.0;"";"gui_0277";"icaa";"busqueda_nombre_aproximada"
128511.0;"";"gui_0278";"icaa";"busqueda_nombre_exacta"
128519.0;"";"gui_0279";"icaa";"busqueda_nombre_exacta"
128519.0;"";"gui_0280";"icaa";"busqueda_nombre_exacta"
128520.0;"";"gui_0218";"icaa";"busqueda_nombre_exacta"
128522.0;"";"gui_0281";"icaa";"busqueda_nombre_exacta"
128522.0;"";"gui_0282";"icaa";"busqueda_nombre_exacta"
128616.0;"";"gui_0283";"icaa";"busqueda_nombre_exacta"
128616.0;"";"gui_0284";"icaa";"busqueda_nombre_exacta"
128706.0;"";"gui_0285";"icaa";"busqueda_nombre_exacta"
128706.0;"";"gui_0199";"icaa";"busqueda_nombre_exacta"
128706.0;"";"gui_0286";"icaa";"busqueda_nombre_exacta"
128721.0;"";"gui_0287";"icaa";"busqueda_nombre_aproximada"
128721.0;"";"gui_0288";"icaa";"busqueda_nombre_exacta"
129121.0;"";"gui_0289";"icaa";"busqueda_nombre_exacta"
129121.0;"";"gui_0290";"icaa";"busqueda_nombre_exacta"
129124.0;"";"gui_0291";"icaa";"busqueda_nombre_exacta"
129521.0;"";"gui_0292";"icaa";"busqueda_nombre_exacta"
129619.0;"";"gui_0293";"icaa";"busqueda_nombre_aproximada"
129622.0;"";"gui_0180";"icaa";"busqueda_nombre_exacta"
129622.0;"";"gui_0294";"icaa";"busqueda_nombre_exacta"
129922.0;"";"gui_0295";"icaa";"busqueda_nombre_exacta"
129922.0;"";"gui_0115";"icaa";"busqueda_nombre_exacta"
129923.0;"";"gui_0296";"icaa";"busqueda_nombre_exacta"
129923.0;"";"gui_0297";"icaa";"busqueda_nombre_exacta"
129923.0;"";"gui_0298";"icaa";"busqueda_nombre_exacta"
129923.0;"";"gui_0299";"icaa";"busqueda_nombre_exacta"
12993640.0;"";"gui_0300";"icaa";"busqueda_nombre_exacta"
130222.0;"";"gui_0301";"icaa";"busqueda_nombre_exacta"
130222.0;"";"gui_0302";"icaa";"busqueda_nombre_exacta"
13023.0;"";"gui_0303";"icaa";"busqueda_nombre_exacta"
13024.0;"";"gui_0304";"icaa";"busqueda_nombre_exacta"
130522.0;"";"gui_0305";"icaa";"busqueda_nombre_exacta"
130523.0;"";"gui_0306";"icaa";"busqueda_nombre_exacta"
130523.0;"";"gui_0307";"icaa";"busqueda_nombre_exacta"
130921.0;"";"gui_0308";"icaa";"busqueda_nombre_exacta"
130921.0;"";"gui_0309";"icaa";"busqueda_nombre_exacta"
130921.0;"";"gui_0310";"icaa";"busqueda_nombre_exacta"
13099.0;"";"gui_0311";"icaa";"busqueda_nombre_exacta"
13099.0;"";"gui_0312";"icaa";"busqueda_nombre_exacta"
131123.0;"";"gui_0313";"icaa";"busqueda_nombre_exacta"
131123.0;"";"gui_0314";"icaa";"busqueda_nombre_exacta"
131221.0;"";"gui_0315";"icaa";"busqueda_nombre_exacta"
131524.0;"";"gui_0316";"icaa";"busqueda_nombre_exacta"
131721.0;"";"gui_0317";"icaa";"busqueda_nombre_exacta"
13223.0;"";"gui_0318";"icaa";"busqueda_nombre_exacta"
132722.0;"";"gui_0319";"icaa";"busqueda_nombre_exacta"
132724.0;"";"gui_0320";"icaa";"busqueda_nombre_exacta"
132918.0;"";"gui_0321";"icaa";"busqueda_nombre_exacta"
132918.0;"";"gui_0322";"icaa";"busqueda_nombre_aproximada"
13321.0;"";"gui_0323";"icaa";"busqueda_nombre_exacta"
133321.0;"";"gui_0324";"icaa";"busqueda_nombre_exacta"
133322.0;"";"gui_0325";"icaa";"busqueda_nombre_exacta"
133518.0;"";"gui_0326";"icaa";"busqueda_nombre_exacta"
133621.0;"";"gui_0327";"icaa";"busqueda_nombre_exacta"
133724.0;"";"gui_0328";"icaa";"busqueda_nombre_exacta"
133822.0;"";"gui_0329";"icaa";"busqueda_nombre_exacta"
133822.0;"";"gui_0330";"icaa";"busqueda_nombre_exacta"
133910.0;"";"gui_0331";"icaa";"busqueda_nombre_exacta"
133910.0;"";"gui_0332";"icaa";"busqueda_nombre_exacta"
133910.0;"";"gui_0216";"icaa";"busqueda_nombre_exacta"
133910.0;"";"gui_0333";"icaa";"busqueda_nombre_exacta"
133921.0;"";"gui_0334";"icaa";"busqueda_nombre_exacta"
133921.0;"";"gui_0335";"icaa";"busqueda_nombre_exacta"
134122.0;"";"gui_0336";"icaa";"busqueda_nombre_aproximada"
134122.0;"";"gui_0337";"icaa";"busqueda_nombre_exacta"
134222.0;"";"gui_0338";"icaa";"busqueda_nombre_exacta"
