"guionista_id";"person_id_tmdb";"nombre";"sexo";"fuente_sexo";"pais";"fuente_pais";"nombre_credito_original"
537;1649611;"Marta Lallana García";"mujer";"tmdb";"ES";"tmdb_heuristico";""
538;5842166;"Sandra García Bueno";"";"";"";"";""
539;79000;"Manuel Martín Cuenca";"hombre";"tmdb";"ES";"tmdb_heuristico";""
540;2555250;"Toni Escandell";"";"";"";"";""
541;27473;"Daniel González";"hombre";"wikidata";"ES";"wikidata";""
542;2124703;"Marta Armengol";"mujer";"tmdb";"";"";""
543;141967;"Benito Zambrano";"hombre";"tmdb";"ES";"wikidata";""
544;967367;"Cristina Campos";"mujer";"tmdb";"";"";""
545;1369119;"Susanna Barranco";"mujer";"wikidata";"ES";"wikidata";""
546;82726;"Curro Velázquez";"hombre";"manual";"ES";"manual";""
547;2924495;"Benjamín Herranz";"hombre";"manual";"ES";"manual";""
548;2826886;"Arturo Dueñas";"hombre";"tmdb";"ES";"wikidata";""
549;2453244;"Olga Mansilla";"";"";"";"";""
550;1902030;"Beatrice Fulconis";"";"";"";"";""
551;1795939;"Inés Acebes";"";"";"";"";""
552;4316906;"Marta Ruiz de Viñaspre";"";"";"";"";""
553;1063668;"Lola Mayo";"mujer";"tmdb";"ES";"tmdb_heuristico";""
554;5406230;"Jesús García";"";"";"";"";""
555;2464574;"Juan Ponce de León";"hombre";"tmdb";"AR";"tmdb_heuristico";""
556;4102781;"Facundo Ponce de León";"hombre";"manual";"UY";"manual";""
557;2269274;"Roberto Bueso";"";"";"";"";""
558;1799781;"Javier González";"hombre";"tmdb";"";"";""
559;1302077;"Arantxa Echevarría";"mujer";"tmdb";"ES";"tmdb_heuristico";""
560;3439224;"Manuel J. Rodríguez";"";"";"";"";""
561;5967557;"Luis Navarrete";"";"";"";"";""
562;3265496;"Martín Spínola";"";"";"";"";""
563;1325729;"Pablo Alén";"hombre";"tmdb";"ES";"wikidata";""
564;1325730;"Breixo Corral";"hombre";"tmdb";"ES";"wikidata";""
565;2535053;"Antonio Donaire";"";"";"";"";""
566;43317;"Joaquín Oristrell";"hombre";"tmdb";"ES";"tmdb_heuristico";""
567;3683806;"Javier Morales Pérez";"";"";"";"";""
568;585035;"Óscar Aibar";"hombre";"tmdb";"ES";"tmdb_heuristico";""
569;1434231;"Manuel Burque";"hombre";"tmdb";"ES";"tmdb_heuristico";""
570;1740635;"Josep Gatell";"hombre";"tmdb";"ES";"tmdb_heuristico";""
571;5652588;"Alberto Mimbrera Rodríguez";"";"";"";"";""
572;6522;"Rafael Cobos";"hombre";"wikidata";"ES";"wikidata";""
573;3139891;"Jesús Eguía Armenteros";"";"";"";"";""
574;3701170;"Albert Val";"";"";"";"";""
575;1730390;"Carlos del Hoyo";"hombre";"tmdb";"";"";""
576;4796018;"Irene Bohoyo";"";"";"";"";""
577;2198654;"Carlos Franco";"hombre";"tmdb";"ES";"tmdb_heuristico";""
578;1179639;"Isa Campo";"mujer";"tmdb";"ES";"wikidata";""
579;10847;"Santiago Segura";"hombre";"tmdb";"ES";"tmdb_heuristico";""
580;2005167;"Marta González de Vega";"mujer";"tmdb";"ES";"wikidata";""
581;2112999;"Amaia Remírez";"";"";"";"";""
582;2113000;"David Weber";"";"";"";"";""
583;1091857;"Raúl de la Fuente";"hombre";"tmdb";"ES";"wikidata";""
584;58547;"Niall Johnson";"hombre";"tmdb";"GB";"tmdb_heuristico";""
585;278087;"Elvira Lindo";"mujer";"tmdb";"";"";""
586;130987;"Daniela Féjerman";"mujer";"tmdb";"AR";"tmdb_heuristico";""
587;4266108;"Sergi Pitarch Garrido";"";"";"";"";""
588;3040796;"María Bravo Cortés";"";"";"";"";""
589;1457161;"Paco Caballero";"hombre";"tmdb";"ES";"tmdb_heuristico";""
590;1302760;"Eric Navarro";"hombre";"tmdb";"ES";"wikidata";""
591;3108583;"Efrén Tarifa";"";"";"";"";""
592;3722569;"Fernando D. Umpierrez";"";"";"";"";""
593;3435792;"Giampaolo Manfreda";"";"";"";"";""
594;4268719;"Gracia Solera";"";"";"";"";""
595;2261583;"Iván Roiz";"";"";"";"";""
596;2261582;"Álvaro Priante";"";"";"";"";""
597;1493049;"David Martín de los Santos";"hombre";"wikidata";"";"";""
598;3216102;"Regis Francisco López";"hombre";"tmdb";"ES";"tmdb_heuristico";""
599;2270952;"Alejandro Marín";"hombre";"wikidata";"ES";"wikidata";""
600;2461133;"Carmen Garrido";"";"";"";"";""
601;1731588;"Santiago Fillol";"hombre";"manual";"AR";"manual";""
602;1048523;"Oliver Laxe";"hombre";"tmdb";"FR";"tmdb_heuristico";""
603;5122410;"María del Mar de Dios Rodríguez";"";"";"";"";""
604;2897025;"Laura Sarmiento";"mujer";"tmdb";"ES";"wikidata";""
605;2398104;"Carlos Ruano";"hombre";"tmdb";"ES";"tmdb_heuristico";""
606;1436742;"Lluís Segura";"hombre";"wikidata";"ES";"wikidata";""
607;5295734;"Ingride Santos";"mujer";"manual";"ES";"manual";""
608;1778357;"Santi Díaz";"";"";"";"";""
609;2776984;"Pol Cortecans";"";"";"";"";""
610;133526;"Laura Mañá";"mujer";"tmdb";"ES";"tmdb_heuristico";""
611;1745479;"Samu Fuentes";"hombre";"tmdb";"ES";"wikidata";""
612;2367863;"Juanjo Castro";"";"";"";"";""
613;1206753;"Ernesto de Nova";"";"";"";"";""
614;936999;"Toni Bestard";"hombre";"wikidata";"ES";"wikidata";""
615;1784530;"Manu Gómez";"";"";"";"";""
616;1678215;"Daniel Castro";"hombre";"tmdb";"";"";""
617;2537904;"Irene Zoe Alameda";"";"";"";"";""
618;570531;"Juana Macías";"mujer";"tmdb";"ES";"wikidata";""
619;2645951;"Isa Sánchez";"";"";"";"";""
620;151162;"Agustí Villaronga";"hombre";"tmdb";"ES";"tmdb_heuristico";""
621;2413239;"Mario Torrecillas";"hombre";"tmdb";"";"";""
622;3045347;"Pep Antón Gómez";"hombre";"tmdb";"ES";"tmdb_heuristico";""
623;5775340;"Jordi Sánchez";"";"";"";"";""
624;591600;"Damián Szifron";"hombre";"tmdb";"AR";"tmdb_heuristico";""
625;2529670;"Marta Medina";"mujer";"tmdb";"ES";"tmdb_heuristico";""
626;1748697;"Carla Simón";"mujer";"tmdb";"ES";"tmdb_heuristico";""
627;971986;"Mauro Herce";"hombre";"tmdb";"ES";"wikidata";""
628;1481857;"Manuel Muñoz Rivas";"hombre";"tmdb";"ES";"tmdb_heuristico";""
629;577795;"Luz Cipriota";"mujer";"tmdb";"AR";"tmdb_heuristico";""
630;1074733;"Cristóbal Garrido";"hombre";"wikidata";"";"";""
631;1074735;"Adolfo Valor";"hombre";"wikidata";"ES";"wikidata";""
632;1755625;"Olga Osorio";"mujer";"tmdb";"ES";"tmdb_heuristico";""
633;2091221;"Paul Pen";"";"";"";"";""
634;4034150;"John J. Healey";"";"";"";"";""
635;1920859;"Antonio Prieto";"hombre";"tmdb";"CL";"tmdb_heuristico";""
636;2264674;"Ángeles Reiné";"mujer";"tmdb";"";"";""
637;1051305;"Oriol Paulo";"hombre";"tmdb";"ES";"tmdb_heuristico";""
638;127146;"Alan R. Cohen";"hombre";"tmdb";"";"";""
639;127148;"Alan Freedland";"hombre";"tmdb";"";"";""
640;3840554;"Araceli Gonda";"mujer";"manual";"ES";"manual";""
641;94403;"F. Javier Gutiérrez";"hombre";"wikidata";"ES";"wikidata";""
642;2759690;"Rubén Burén";"";"";"";"";""
643;16979;"Chus Gutiérrez";"mujer";"tmdb";"ES";"wikidata";""
644;2388429;"Lina Badenes";"";"";"";"";""
645;2180969;"José María Zavala";"hombre";"tmdb";"";"";""
646;1806051;"Ignacio Benedeti";"";"";"";"";""
647;4951153;"Miguel Herrero";"";"";"";"";""
648;4160275;"J. Alberto Andrés Lacasta";"";"";"";"";""
649;1804069;"Imanol Ortiz López";"";"";"";"";""
650;4770718;"Joan-Pol Argenter";"";"";"";"";""
651;2270965;"Celia Giraldo";"mujer";"tmdb";"";"";""
652;4543717;"Bianca Franceza Omonte";"";"";"";"";""
653;3829133;"Luis (Soto) Muñoz";"hombre";"tmdb";"ES";"tmdb_heuristico";""
654;1684860;"Mario Pagano";"hombre";"wikidata";"VE";"wikidata";""
655;3599655;"Marco Gandolfo";"";"";"";"";""
656;1223;"Joel Coen";"hombre";"tmdb";"US";"tmdb_heuristico";""
657;1098477;"Cal Brunker";"hombre";"tmdb";"CA";"wikidata";""
658;12893;"Alec Sokolow";"hombre";"tmdb";"US";"tmdb_heuristico";""
659;1098478;"Bob Barlen";"hombre";"tmdb";"CA";"tmdb_heuristico";""
660;1392412;"More Raça";"mujer";"tmdb";"";"";""
661;1041579;"Gabriel Velázquez";"hombre";"wikidata";"";"";""
662;1302078;"Carlos Unamuno";"";"";"";"";""
663;2574131;"Xesús Ron";"";"";"";"";""
664;956692;"Miguel de Lira";"hombre";"tmdb";"ES";"tmdb_heuristico";""
665;2178183;"Patricia de Lorenzo";"mujer";"tmdb";"ES";"tmdb_heuristico";""
666;929049;"Paco Limón";"hombre";"tmdb";"ES";"tmdb_heuristico";""
667;2427245;"Julio César Sánchez";"hombre";"manual";"MX";"manual";""
668;3793844;"Ángel Holgado";"";"";"";"";""
669;5959830;"Joan Frank Charansonnet";"";"";"";"";""
670;6024188;"Alba López";"";"";"";"";""
671;2710782;"Luis Acebes Navarro";"";"";"";"";""
672;1396648;"Athenea Mata";"mujer";"wikidata";"ES";"wikidata";""
673;5252601;"J.L. Rojas";"";"";"";"";""
674;1443615;"Javier Calvo";"hombre";"tmdb";"ES";"tmdb_heuristico";""
675;95606;"Javier Ambrossi";"hombre";"tmdb";"ES";"tmdb_heuristico";""
676;240118;"Jean-Louis Milesi";"hombre";"tmdb";"IT";"tmdb_heuristico";""
677;2207591;"Zaida Carmona";"";"";"";"";""
678;2285247;"Hèctor Romance";"hombre";"tmdb";"";"";""
679;4277756;"Laura de Dios";"";"";"";"";""
680;2903084;"Roberto Jimenez";"hombre";"tmdb";"US";"tmdb_heuristico";""
681;2764547;"Miguel Angel Barroso Garcia";"";"";"";"";""
682;1741791;"Darío Autrán";"";"";"";"";""
683;1842346;"Kevin Castellano";"";"";"";"";""
684;3490020;"Edu Hirschfeld";"";"";"";"";""
685;4766481;"Jacobo Muñoz";"hombre";"tmdb";"ES";"tmdb_heuristico";""
686;1061514;"Álex O'Dogherty";"hombre";"tmdb";"ES";"tmdb_heuristico";""
687;3168014;"Iván Karras";"";"";"";"";""
688;2022341;"Carolina África";"";"";"";"";""
689;1072835;"Pilar Ordóñez";"mujer";"tmdb";"";"";""
690;4010268;"Ariel Castro";"";"";"";"";""
691;5155779;"Elisa Forcano";"";"";"";"";""
692;5063588;"Sofía Cortés";"";"";"";"";""
693;4814461;"Natalia Llorente";"mujer";"tmdb";"";"";""
694;5638016;"Laura Fité";"";"";"";"";""
695;1331713;"Fanny Condado";"";"";"";"";""
