"titulo";"distribuidora_pdf_heuristica";"fecha_estreno";"recaudacion";"espectadores";"anio";"anio_reposicion";"titulo_busqueda";"articulo"
"A este lado de la carretera";"Independent";"03/12/2021";47.0;9;2022;"";"A este lado de la carretera";""
"Ombligo de Guie'dani, El";"El Sur Films";"12/02/2021";47.0;11;2022;"";"Ombligo de Guie'dani";"El"
"Mais ca vida";"Independent";"23/11/2018";46.0;7;2022;"";"Mais ca vida";""
"Hija de un ladron, La";"Bteam Pictures";"29/11/2019";45.0;13;2022;"";"Hija de un ladron";"La"
"Vampira de Barcelona, La";"Filmax";"04/12/2020";45.0;11;2022;"";"Vampira de Barcelona";"La"
"Sol del membrillo, El (1992) (re)";"Independent";"16/12/2022";45.0;10;2022;1992.0;"Sol del membrillo";"El"
"Hijo del acordeonista, El (Soinujolearen semea)";"Filmax";"12/04/2019";43.0;11;2022;"";"Hijo del acordeonista, El (Soinujolearen semea)";""
"Bosque del lobo, El (1970) (re)";"Independent";"19/10/2022";42.0;13;2022;1970.0;"Bosque del lobo";"El"
"Universo Montesinos, El";"Independent";"02/12/2022";40.0;215;2022;"";"Universo Montesinos";"El"
"Tramposos, Los (1959) (re)";"Independent";"30/05/2022";40.0;10;2022;1959.0;"Tramposos";"Los"
"Moros y Cristianos (1987)";"A Contracorriente";"20/08/2021";39.0;10;2022;1987.0;"Moros y Cristianos";""
"Tiempo de tormenta (2003) (re)";"Independent";"22/10/2022";38.0;11;2022;2003.0;"Tiempo de tormenta";""
"Isidro, el labrador (1963) (re)";"Independent";"01/05/2022";36.0;10;2022;1963.0;"Isidro, el labrador";""
"Kaiser de la Atlantida, El";"Independent";"10/05/2022";34.0;34;2022;"";"Kaiser de la Atlantida";"El"
"Arenas de silencio (Sands of silence)";"Independent";"14/11/2018";33.0;22;2022;"";"Arenas de silencio (Sands of silence)";""
"Querido Fotogramas";"A Contracorriente";"05/10/2018";32.0;9;2022;"";"Querido Fotogramas";""
"Mas alla del jardin (1996) (re)";"Independent";"21/10/2022";31.0;9;2022;1996.0;"Mas alla del jardin";""
"2012 La revolucion que no fue";"Independent";"18/06/2022";31.0;5;2022;"";"2012 La revolucion que no fue";""
"Mia y Moi";"Yedra";"21/05/2021";30.0;6;2022;"";"Mia y Moi";""
"Amigo";"El Ojo Mecanico";"09/11/2020";29.0;8;2022;"";"Amigo";""
"My Mexican Bretzel";"Avalon Distribución";"11/12/2020";28.0;7;2022;"";"My Mexican Bretzel";""
"No es bueno que el hombre este solo (1973) (re)";"Independent";"19/10/2022";28.0;8;2022;1973.0;"No es bueno que el hombre este solo";""
"Lalla Aicha";"Independent";"16/12/2022";28.0;4;2022;"";"Lalla Aicha";""
"Hil-Kanpaiak (Campanadas a muerto)";"Barton";"20/11/2020";26.0;7;2022;"";"Hil-Kanpaiak (Campanadas a muerto)";""
"Pim, pam, pum... ¡Fuego! (1975) (re)";"Independent";"20/10/2022";25.0;7;2022;1975.0;"Pim, pam, pum... ¡Fuego!";""
"Bolante baten historia (Historia de un volante)";"Barton";"19/11/2021";24.0;7;2022;"";"Bolante baten historia (Historia de un volante)";""
"Karen";"Begin Again Films";"04/06/2021";24.0;6;2022;"";"Karen";""
"Periferia";"Independent";"09/06/2021";22.0;4;2022;"";"Periferia";""
"No tengas miedo";"Alta Films";"29/04/2011";21.0;5;2022;"";"No tengas miedo";""
"Cigueña de Burgos, La";"Independent";"28/06/2022";19.0;4;2022;"";"Cigueña de Burgos";"La"
"Voz de Thais, La";"Independent";"16/03/2022";18.0;6;2022;"";"Voz de Thais";"La"
"A Escondidas";"Vertigo Films";"10/10/2014";16.0;4;2022;"";"A Escondidas";""
"OBABA";"Alta Films";"16/09/2005";16.0;4;2022;"";"OBABA";""
"Nueve Sevillas";"Elamedia";"19/11/2021";15.0;3;2022;"";"Nueve Sevillas";""
"Cronocrimenes, Los (2008) (re)";"Independent";"06/09/2022";14.0;4;2022;2008.0;"Cronocrimenes";"Los"
"Erasmus en Gaza";"Independent";"12/05/2022";14.0;24;2022;"";"Erasmus en Gaza";""
"Voces de una ciudad";"Independent";"15/11/2022";13.0;2;2022;"";"Voces de una ciudad";""
"Isosceles";"Independent";"13/11/2022";12.0;3;2022;"";"Isosceles";""
"Cau, El";"Independent";"27/11/2021";12.0;3;2022;"";"Cau";"El"
"Intacto (2001) (re)";"Independent";"07/09/2022";10.0;3;2022;2001.0;"Intacto";""
"Vida sense la Sara Amat, La";"Alfa Pictures";"12/07/2019";9.0;2;2022;"";"Vida sense la Sara Amat";"La"
"Descarrilados";"Sony";"20/08/2021";9.0;3;2022;"";"Descarrilados";""
"Entre dos aguas";"Bteam Pictures";"30/11/2018";9.0;2;2022;"";"Entre dos aguas";""
"Todos quieren ser el proximo Weismann";"Independent";"05/07/2021";9.0;2;2022;"";"Todos quieren ser el proximo Weismann";""
"Último Fracaso, El";"Aguilar Cinema";"02/11/2018";6.0;1;2022;"";"Último Fracaso";"El"
"Lo que arde";"Atalante";"11/10/2019";5.0;1;2022;"";"Lo que arde";""
"Hotel Colon (confinamiento incluido)";"Begin Again Films";"05/03/2022";4.0;77;2022;"";"Hotel Colon (confinamiento incluido)";""
"A Dios pongo por testigo";"Independent";"09/03/2022";4.0;107;2022;"";"A Dios pongo por testigo";""
"Platillos volantes (2003) (re)";"Independent";"06/09/2022";3.0;1;2022;2003.0;"Platillos volantes";""
"Campeonex";"Universal";"18/08/2023";11888158.0;1975785;2023;"";"Campeonex";""
"Ocho Apellidos Marroquis";"Universal";"01/12/2023";9791499.0;1439146;2023;"";"Ocho Apellidos Marroquis";""
"Vacaciones de verano";"Sony";"06/07/2023";7417977.0;1245648;2023;"";"Vacaciones de verano";""
"Momias";"Warner Bros";"24/02/2023";5915965.0;960628;2023;"";"Momias";""
"Vaya vacaciones";"Universal";"21/04/2023";4803875.0;803351;2023;"";"Vaya vacaciones";""
"Mari(dos)";"Walt Disney";"10/03/2023";4067952.0;622196;2023;"";"Mari(dos)";""
"Navidad en sus manos, La";"A Contracorriente";"01/12/2023";3816303.0;600083;2023;"";"Navidad en sus manos";"La"
"As bestas";"A Contracorriente";"11/11/2022";3276371.0;511766;2023;"";"As bestas";""
"Hotel de los lios. Garcia y Garcia 2, El";"Walt Disney";"24/03/2023";2229338.0;363814;2023;"";"Hotel de los lios. Garcia y Garcia 2";"El"
"Como Dios manda";"Warner Bros";"02/06/2023";2133099.0;332054;2023;"";"Como Dios manda";""
"Niña de la comunion, La";"Warner Bros";"10/02/2023";1440754.0;217150;2023;"";"Niña de la comunion";"La"
"Maestro que prometio el mar, El";"Filmax";"10/11/2023";1402193.0;235056;2023;"";"Maestro que prometio el mar";"El"
"Mi soledad tiene alas";"Warner Bros";"25/08/2023";1375535.0;221975;2023;"";"Mi soledad tiene alas";""
"Alimañas";"Sony";"27/10/2023";1346063.0;207719;2023;"";"Alimañas";""
"A todo tren 2";"Warner Bros";"02/12/2022";1149232.0;186719;2023;"";"A todo tren 2";""
"Me he hecho viral";"Warner Bros";"11/10/2023";1101997.0;172426;2023;"";"Me he hecho viral";""
"Fatum";"Universal";"28/04/2023";966465.0;162798;2023;"";"Fatum";""
"Todos los nombres de Dios";"TriPictures";"15/09/2023";961860.0;168672;2023;"";"Todos los nombres de Dios";""
"Irati";"Filmax";"24/02/2023";956938.0;157586;2023;"";"Irati";""
